Timestamp,Service Units Used
2025-01-18 20:57:14.095,2
2025-01-18 20:57:29.095,2
2025-01-18 20:57:44.095,2
2025-01-18 20:57:59.095,2
2025-01-18 20:58:14.095,2
2025-01-18 20:58:29.095,2
2025-01-18 20:58:44.095,2
2025-01-18 20:58:59.095,2
2025-01-18 20:59:14.095,2
2025-01-18 20:59:29.095,2
2025-01-18 20:59:44.095,3
2025-01-18 20:59:59.095,3
2025-01-18 21:00:14.095,3
2025-01-18 21:00:29.095,3
2025-01-18 21:00:44.095,4
2025-01-18 21:00:59.095,4
2025-01-18 21:01:14.095,4
2025-01-18 21:01:29.095,4
2025-01-18 21:01:44.095,4
2025-01-18 21:01:59.095,5
2025-01-18 21:02:14.095,5
2025-01-18 21:02:29.095,5
2025-01-18 21:02:44.095,5
2025-01-18 21:02:59.095,5
2025-01-18 21:03:14.095,5
2025-01-18 21:03:29.095,5
2025-01-18 21:03:44.095,5
2025-01-18 21:03:59.095,5
2025-01-18 21:04:14.095,5
2025-01-18 21:04:29.095,5
2025-01-18 21:04:44.095,5
2025-01-18 21:04:59.095,5
2025-01-18 21:05:14.095,5
2025-01-18 21:05:29.095,5
2025-01-18 21:05:44.095,5
2025-01-18 21:05:59.095,5
2025-01-18 21:06:14.095,5
2025-01-18 21:06:29.095,5
2025-01-18 21:06:44.095,5
2025-01-18 21:06:59.095,5
2025-01-18 21:07:14.095,5
2025-01-18 21:07:29.095,5
2025-01-18 21:07:44.095,5
2025-01-18 21:07:59.095,5
2025-01-18 21:08:14.095,5
2025-01-18 21:08:29.095,5
2025-01-18 21:08:44.095,5
2025-01-18 21:08:59.095,5
2025-01-18 21:09:14.095,5
2025-01-18 21:09:29.095,5
2025-01-18 21:09:44.095,5
2025-01-18 21:09:59.095,5
2025-01-18 21:10:14.095,4
2025-01-18 21:10:29.095,4
2025-01-18 21:10:44.095,4
2025-01-18 21:10:59.095,4
2025-01-18 21:11:14.095,4
2025-01-18 21:11:29.095,4
2025-01-18 21:11:44.095,4
2025-01-18 21:11:59.095,4
2025-01-18 21:12:14.095,4
2025-01-18 21:12:29.095,4
2025-01-18 21:12:44.095,5
2025-01-18 21:12:59.095,5
2025-01-18 21:13:14.095,5
2025-01-18 21:13:29.095,5
2025-01-18 21:13:44.095,5
2025-01-18 21:13:59.095,5
2025-01-18 21:14:14.095,5
2025-01-18 21:14:29.095,5
2025-01-18 21:14:44.095,5
2025-01-18 21:14:59.095,5
2025-01-18 21:15:14.095,5
2025-01-18 21:15:29.095,5
2025-01-18 21:15:44.095,5
2025-01-18 21:15:59.095,5
2025-01-18 21:16:14.095,5
2025-01-18 21:16:29.095,5
2025-01-18 21:16:44.095,5
2025-01-18 21:16:59.095,5
2025-01-18 21:17:14.095,5
2025-01-18 21:17:29.095,5
2025-01-18 21:17:44.095,5
2025-01-18 21:17:59.095,4
2025-01-18 21:18:14.095,4
2025-01-18 21:18:29.095,4
2025-01-18 21:18:44.095,4
2025-01-18 21:18:59.095,4
2025-01-18 21:19:14.095,4
2025-01-18 21:19:29.095,5
2025-01-18 21:19:44.095,5
2025-01-18 21:19:59.095,5
2025-01-18 21:20:14.095,5
2025-01-18 21:20:29.095,5
2025-01-18 21:20:44.095,5
2025-01-18 21:20:59.095,4
2025-01-18 21:21:14.095,4
2025-01-18 21:21:29.095,5
2025-01-18 21:21:44.095,4
2025-01-18 21:21:59.095,4
2025-01-18 21:22:14.095,4
2025-01-18 21:22:29.095,5
2025-01-18 21:22:44.095,5
2025-01-18 21:22:59.095,5
2025-01-18 21:23:14.095,5
2025-01-18 21:23:29.095,5
2025-01-18 21:23:44.095,5
2025-01-18 21:23:59.095,5
2025-01-18 21:24:14.095,5
2025-01-18 21:24:29.095,5
2025-01-18 21:24:44.095,5
2025-01-18 21:24:59.095,5
2025-01-18 21:25:14.095,5
2025-01-18 21:25:29.095,5
